Unnamed: 0,Age,Sex,Job,Saving_accounts,Checking_account,Credit_amount,Duration,Credit_per_Duration,Housing_own,Housing_rent,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others,Credit_Amount_Bin,Credit_Duration_Product,Age_Group_Label
11,24,0,1,0,0,4308,48,89.75,False,True,False,False,False,False,False,False,False,2,206784,3
414,35,0,1,4,0,1381,24,57.54166666666666,True,False,True,False,False,False,False,False,False,1,33144,0
272,36,1,1,4,1,12169,48,253.52083333333331,False,False,True,False,False,False,False,False,False,3,584112,0
427,46,1,1,3,3,1149,18,63.833333333333336,True,False,False,False,False,False,True,False,False,1,20682,1
476,24,1,1,2,3,2569,39,65.87179487179488,True,False,True,False,False,False,False,False,False,2,100191,3
972,29,0,0,0,0,1193,24,49.708333333333336,False,True,True,False,False,False,False,False,False,1,28632,0
133,47,1,1,0,3,1984,18,110.22222222222224,False,False,False,False,False,True,False,False,False,1,35712,1
322,34,1,1,0,0,2910,24,121.25,False,False,True,False,False,False,False,False,False,2,69840,0
917,68,1,1,0,0,14896,6,2482.6666666666665,True,False,True,False,False,False,False,False,False,3,89376,2
32,30,1,1,1,1,5866,18,325.8888888888889,True,False,True,False,False,False,False,False,False,0,105588,0
61,50,1,1,4,1,1537,15,102.46666666666668,True,False,False,False,False,False,True,False,False,1,23055,1
461,36,1,1,0,0,1721,15,114.73333333333332,True,False,True,False,False,False,False,False,False,1,25815,0
720,34,1,1,0,2,1337,9,148.55555555555554,True,False,False,False,False,False,True,False,False,1,12033,0
930,24,1,1,0,0,1747,24,72.79166666666667,True,False,False,False,False,True,False,False,False,1,41928,3
989,48,1,1,0,1,1743,24,72.625,True,False,False,False,False,False,True,False,False,1,41832,1
217,23,1,1,0,2,3913,36,108.69444444444444,True,False,False,False,False,False,True,False,False,2,140868,3
409,28,1,1,2,2,939,12,78.25,True,False,True,False,False,False,False,False,False,1,11268,0
93,20,1,1,4,2,3617,24,150.70833333333334,False,True,False,False,False,True,False,False,False,2,86808,3
365,36,1,1,0,3,1542,12,128.5,True,False,False,False,False,False,False,False,False,1,18504,0
416,33,1,1,0,0,2579,12,214.91666666666663,True,False,True,False,False,False,False,False,False,2,30948,0
912,25,0,1,4,1,2991,30,99.7,True,False,False,False,False,False,True,False,False,2,89730,0
364,25,1,0,0,0,2473,18,137.38888888888889,True,False,False,False,False,True,False,False,False,2,44514,0
867,42,1,1,0,3,3331,12,277.5833333333333,True,False,False,False,False,True,False,False,False,2,39972,1
600,45,0,1,0,1,2329,7,332.7142857142857,True,False,False,False,False,False,True,False,False,2,16303,1
710,32,1,1,2,3,629,18,34.94444444444444,True,False,False,False,False,False,True,False,False,1,11322,0
468,26,0,1,0,3,2764,33,83.75757575757575,True,False,False,False,False,False,False,False,False,2,91212,0
292,44,0,1,0,0,6419,24,267.4583333333333,False,False,True,False,False,False,False,False,False,0,154056,1
805,24,1,1,0,0,9271,36,257.52777777777777,True,False,True,False,False,False,False,False,False,0,333756,3
397,46,1,1,0,0,2348,36,65.22222222222223,True,False,False,False,False,True,False,False,False,2,84528,1
975,57,0,1,2,2,1258,24,52.41666666666666,True,False,False,False,False,False,True,False,False,1,30192,1
855,33,1,1,1,3,1474,24,61.41666666666666,True,False,True,False,False,False,False,False,False,1,35376,0
882,36,1,1,4,1,2181,30,72.7,True,False,True,False,False,False,False,False,False,2,65430,0
435,25,1,1,4,1,1484,12,123.66666666666669,True,False,False,False,False,False,True,False,False,1,17808,0
581,49,1,1,0,1,3124,12,260.3333333333333,True,False,True,False,False,False,False,False,False,2,37488,1
929,43,1,1,0,0,1344,12,112.0,True,False,True,False,False,False,False,False,False,1,16128,1
457,35,1,1,0,0,3386,12,282.1666666666667,False,False,True,False,False,False,False,False,False,2,40632,0
607,50,0,1,1,1,2671,36,74.19444444444444,False,False,False,False,False,False,True,False,False,2,96156,1
333,24,0,1,1,3,11590,48,241.45833333333331,False,True,True,False,False,False,False,False,False,3,556320,3
524,26,0,1,0,1,1113,18,61.833333333333336,True,False,False,False,False,False,True,False,False,1,20034,0
324,36,0,1,0,3,1028,18,57.11111111111112,True,False,True,False,False,False,False,False,False,1,18504,0
8,61,1,1,3,3,3059,12,254.91666666666663,True,False,False,False,False,False,True,False,False,2,36708,2
261,55,0,1,0,0,1603,24,66.79166666666667,True,False,False,False,False,False,True,False,False,1,38472,1
172,34,0,1,0,1,2064,24,86.0,True,False,False,False,False,True,False,False,False,2,49536,0
864,25,1,1,0,3,2210,10,221.0,False,True,False,False,False,True,False,False,False,2,22100,0
475,26,0,1,0,0,3114,18,173.0,False,True,False,False,False,True,False,False,False,2,56052,0
116,30,0,1,4,0,7174,42,170.8095238095238,True,False,False,False,False,False,True,False,False,0,301308,0
220,26,1,1,0,1,625,12,52.083333333333336,True,False,False,False,False,False,True,False,False,1,7500,0
810,26,1,1,0,1,907,8,113.375,True,False,False,False,False,False,False,False,False,1,7256,0
388,27,1,1,2,1,2326,15,155.06666666666666,True,False,False,False,False,False,False,False,False,2,34890,0
764,27,1,1,1,3,2463,24,102.625,True,False,True,False,False,False,False,False,False,2,59112,0
421,30,1,1,4,1,2028,12,169.0,True,False,True,False,False,False,False,False,False,2,24336,0
626,41,1,1,0,2,2116,6,352.6666666666667,True,False,False,False,False,True,False,False,False,2,12696,1
400,39,1,1,0,3,1473,18,81.83333333333333,True,False,False,False,False,False,True,False,False,1,26514,0
870,40,0,1,2,3,7678,36,213.27777777777777,True,False,False,False,False,True,False,False,False,0,276408,1
353,28,1,1,0,0,6199,12,516.5833333333334,False,True,False,False,False,False,True,False,False,0,74388,0
2,49,1,1,0,3,2096,12,174.66666666666666,True,False,False,False,True,False,False,False,False,2,25152,1
984,30,1,1,0,3,2028,24,84.5,True,False,False,False,False,True,False,False,False,2,48672,0
562,29,0,1,0,2,683,6,113.83333333333331,True,False,False,False,False,False,True,False,False,1,4098,0
291,28,1,1,0,1,9398,36,261.05555555555554,False,True,True,False,False,False,False,False,False,0,338328,0
699,40,1,1,0,2,1905,15,127.0,False,True,False,False,True,False,False,False,False,1,28575,1
176,42,1,1,0,0,2577,12,214.75,True,False,False,False,False,True,False,False,False,2,30924,1
573,22,0,1,0,0,806,15,53.73333333333333,True,False,False,False,False,False,False,False,False,1,12090,3
927,39,1,1,0,0,10297,48,214.52083333333331,False,False,True,False,False,False,False,False,False,3,494256,0
623,22,0,1,0,0,1858,12,154.83333333333334,False,True,False,False,False,True,False,False,False,1,22296,3
367,22,0,1,0,0,3650,18,202.77777777777777,False,True,False,False,False,True,False,False,False,2,65700,3
998,23,1,1,0,0,1845,45,41.0,False,False,False,False,False,False,True,False,False,1,83025,3
