Unnamed: 0,Age,Sex,Job,Saving_accounts,Checking_account,Credit_amount,Duration,Default,Credit_per_Duration,Housing_own,Housing_rent,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others,Credit_Amount_Bin,Credit_Duration_Product,Age_Group_Label
0,67,1,1,4,0,1169,6,0,194.83333333333331,True,False,False,False,False,False,True,False,False,1,7014,2
1,22,0,1,0,1,5951,48,1,123.97916666666669,True,False,False,False,False,False,True,False,False,0,285648,3
2,49,1,1,0,3,2096,12,0,174.66666666666666,True,False,False,False,True,False,False,False,False,2,25152,1
3,45,1,1,0,0,7882,42,1,187.66666666666663,False,False,False,False,False,True,False,False,False,0,331044,1
4,53,1,1,0,0,4870,24,0,202.91666666666663,False,False,True,False,False,False,False,False,False,2,116880,1
6,53,1,1,2,3,2835,24,0,118.125,True,False,False,False,False,True,False,False,False,2,68040,1
7,35,1,1,0,1,6948,36,1,193.0,False,True,True,False,False,False,False,False,False,0,250128,0
8,61,1,1,3,3,3059,12,0,254.91666666666663,True,False,False,False,False,False,True,False,False,2,36708,2
9,28,1,1,0,1,5234,30,1,174.46666666666667,True,False,True,False,False,False,False,False,False,0,157020,0
10,25,0,1,0,1,1295,12,0,107.91666666666669,False,True,True,False,False,False,False,False,False,1,15540,0
11,24,0,1,0,0,4308,48,0,89.75,False,True,False,False,False,False,False,False,False,2,206784,3
12,22,0,1,0,1,1567,12,0,130.58333333333334,True,False,False,False,False,False,True,False,False,1,18804,3
13,60,1,1,0,0,1199,24,0,49.958333333333336,True,False,True,False,False,False,False,False,False,1,28776,2
14,28,0,1,0,0,1403,15,0,93.53333333333332,False,True,True,False,False,False,False,False,False,1,21045,0
15,32,0,1,1,0,1282,24,0,53.41666666666666,True,False,False,False,False,False,True,False,False,1,30768,0
17,25,1,1,4,0,8072,30,1,269.06666666666666,True,False,False,False,False,False,False,False,False,0,242160,0
18,44,0,1,0,1,12579,24,1,524.125,False,False,True,False,False,False,False,False,False,3,301896,1
19,31,1,1,2,3,3430,24,0,142.91666666666666,True,False,False,False,False,False,True,False,False,2,82320,0
20,48,1,1,0,3,2134,9,0,237.11111111111111,True,False,True,False,False,False,False,False,False,2,19206,1
21,44,1,1,2,0,2647,6,0,441.1666666666667,False,True,False,False,False,False,True,False,False,2,15882,1
22,48,1,1,0,0,2241,10,0,224.1,False,True,True,False,False,False,False,False,False,2,22410,1
23,44,1,1,1,1,1804,12,0,150.33333333333334,True,False,True,False,False,False,False,False,False,1,21648,1
25,36,1,1,0,0,1374,6,0,229.0,True,False,False,False,False,True,False,False,False,1,8244,0
